img_url,name,price_list,shop_list
https://s.ek.ua/jpg/1670619.jpg,Nikon Z50," ,40 499 грн., ,40 499 грн., ,40 499 грн., ,40 499 грн., ,40 499 грн., ,42 328 грн., ,40 499 грн.","Sokol.ua,АЛЛО,Ctrs.com.ua,ACDC.com.ua,Stylus.ua,Palladium.ua,Moyo.ua"
https://s.ek.ua/jpg/618456.jpg,Panasonic DMC-FZ300," ,18 999 грн., ,18 999 грн., ,18 999 грн., ,19 133 грн., ,18 999 грн., ,18 999 грн., ,18 999 грн.","Sokol.ua,ACDC.com.ua,Stylus.ua,Palladium.ua,Moyo.ua,ABCphoto.com.ua,COMFY.ua"
https://s.ek.ua/jpg/1665128.jpg,Canon EOS M200," ,23 419 грн., ,26 499 грн., ,26 499 грн., ,23 419 грн., ,26 499 грн., ,26 499 грн., ,26 499 грн.","Sokol.ua,Ctrs.com.ua,Stylus.ua,Moyo.ua,ABCphoto.com.ua,COMFY.ua,Цифра"
https://s.ek.ua/jpg/1859824.jpg,Sony A7s III," ,149 999 грн., ,159 999 грн., ,149 999 грн., ,139 000 грн., ,149 999 грн., ,149 999 грн., ,191 011 грн.","Sokol.ua,Tv-project.com,Moyo.ua,KT-group.ua,Repka.ua,Sony Centre,click24.biz"
https://s.ek.ua/jpg/1643983.jpg,Canon EOS M6 II,[None],Click24.in.ua
https://s.ek.ua/jpg/1387312.jpg,Fujifilm X-T100,[None],Click24.in.ua
https://s.ek.ua/jpg/147707.jpg,Olympus SP-810 UZ,[None],Euro-technika.com.ua
https://s.ek.ua/jpg/233253.jpg,Nikon D5200,[None],Horoshiy.com.ua
https://s.ek.ua/jpg/2306692.jpg,Fujifilm X-T5," ,87 314 грн., ,83 000 грн., ,87 037 грн., ,89 161 грн., ,92 347 грн., ,92 347 грн., ,89 870 грн.","Stylus.ua,KT-group.ua,Цифра,Fragment.com.ua,click24.biz,Click24.in.ua,Photoline.com.ua"
https://s.ek.ua/jpg/2093149.jpg,Ricoh GR IIIx," ,49 000 грн., ,53 000 грн., ,60 461 грн., ,54 973 грн., ,54 973 грн., ,60 461 грн.","KT-group.ua,Horoshiy.com.ua,click24.biz,Click24.in.ua,click24.biz,Click24.in.ua"
